flare_id,log,flash_index,dark_s
FLR-00001,RIDGE,1,0.4843334
FLR-00001,RIDGE,2,0.451737
FLR-00001,RIDGE,3,0.1962231
FLR-00001,RIDGE,4,0.2033368
FLR-00001,RIDGE,5,
FLR-00002,RIDGE,1,0.3143
FLR-00002,RIDGE,2,0.2933
FLR-00002,RIDGE,3,0.3304
FLR-00002,RIDGE,4,0.3153
FLR-00002,RIDGE,5,
FLR-00003,RIDGE,1,0.2306777
FLR-00003,RIDGE,2,0.2460111
FLR-00003,RIDGE,3,0.151672
FLR-00003,RIDGE,4,0.1222448
FLR-00003,RIDGE,5,
FLR-00004,RIDGE,1,0.2914
FLR-00004,RIDGE,2,0.2845
FLR-00004,RIDGE,3,0.3003
FLR-00004,RIDGE,4,0.3021
FLR-00004,RIDGE,5,
FLR-00005,RIDGE,1,0.087
FLR-00005,RIDGE,2,0.096
FLR-00005,RIDGE,3,0.076
FLR-00005,RIDGE,4,0.071
FLR-00005,RIDGE,5,
FLR-00006,LAMP,1,0.0364438
FLR-00006,LAMP,2,0.03523
FLR-00006,LAMP,3,0.0344224
FLR-00006,LAMP,4,0.0544191
FLR-00006,LAMP,5,0.0479155
FLR-00006,LAMP,6,0.0485161
FLR-00006,LAMP,7,0.0424382
FLR-00006,LAMP,8,0.0446917
FLR-00006,LAMP,9,0.0399449
FLR-00006,LAMP,10,0.039115
FLR-00006,LAMP,11,0.0383149
FLR-00006,LAMP,12,0.0395966
FLR-00006,LAMP,13,0.0376266
FLR-00006,LAMP,14,0.0553866
FLR-00006,LAMP,15,0.0831166
FLR-00006,LAMP,16,0.1185099
FLR-00006,LAMP,17,0.1571598
FLR-00006,LAMP,18,0.1830747
FLR-00006,LAMP,19,
FLR-00007,RIDGE,1,0.2764
FLR-00007,RIDGE,2,0.2824
FLR-00007,RIDGE,3,0.2913
FLR-00007,RIDGE,4,0.3003
FLR-00007,RIDGE,5,
FLR-00008,RIDGE,1,0.1016
FLR-00008,RIDGE,2,0.0804
FLR-00008,RIDGE,3,0.0728
FLR-00008,RIDGE,4,0.0869
FLR-00008,RIDGE,5,
FLR-00009,RIDGE,1,0.049
FLR-00009,RIDGE,2,0.059
FLR-00009,RIDGE,3,0.065
FLR-00009,RIDGE,4,0.069
FLR-00009,RIDGE,5,0.076
FLR-00009,RIDGE,6,0.185
FLR-00009,RIDGE,7,
FLR-00010,LAMP,1,0.4076834
FLR-00010,LAMP,2,0.3397833
FLR-00010,LAMP,3,0.1662083
FLR-00010,LAMP,4,0.15055
FLR-00010,LAMP,5,
FLR-00011,LAMP,1,0.4909667
FLR-00011,LAMP,2,0.444025
FLR-00011,LAMP,3,0.2332417
FLR-00011,LAMP,4,0.212175
FLR-00011,LAMP,5,
FLR-00012,RIDGE,1,0.4300148
FLR-00012,RIDGE,2,0.3839559
FLR-00012,RIDGE,3,0.1982269
FLR-00012,RIDGE,4,0.183929
FLR-00012,RIDGE,5,
FLR-00013,RIDGE,1,0.4037403
FLR-00013,RIDGE,2,0.4285719
FLR-00013,RIDGE,3,0.1962403
FLR-00013,RIDGE,4,0.2173222
FLR-00013,RIDGE,5,
FLR-00014,RIDGE,1,0.3085
FLR-00014,RIDGE,2,0.3089
FLR-00014,RIDGE,3,0.1755
FLR-00014,RIDGE,4,0.146
FLR-00014,RIDGE,5,
FLR-00015,RIDGE,1,0.4210036
